COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,PRODUCTION_SOURCE_DET.CODE,MEASURE,PERIOD,VALUE,STATUS
90,MZZ,71,CAPTURE,Q_tlw,2000,6000,E
184,MZZ,77,CAPTURE,Q_tlw,2000,341,E
242,MZZ,71,CAPTURE,Q_tlw,2000,1180,E
520,MZZ,71,CAPTURE,Q_tlw,2000,369,E
548,MZZ,71,CAPTURE,Q_tlw,2000,1400,E
570,MZZ,77,CAPTURE,Q_tlw,2000,100,E
583,MZZ,71,CAPTURE,Q_tlw,2000,1400,E
584,MZZ,71,CAPTURE,Q_tlw,2000,700,E
612,MZZ,81,CAPTURE,Q_tlw,2000,5,E
772,MZZ,77,CAPTURE,Q_tlw,2000,140,E
798,MZZ,71,CAPTURE,Q_tlw,2000,160,E
876,MZZ,71,CAPTURE,Q_tlw,2000,294,E
882,MZZ,77,CAPTURE,Q_tlw,2000,650,E
90,MZZ,71,CAPTURE,Q_tlw,2001,6000,E
184,MZZ,77,CAPTURE,Q_tlw,2001,311,E
520,MZZ,71,CAPTURE,Q_tlw,2001,347,E
548,MZZ,71,CAPTURE,Q_tlw,2001,1500,E
570,MZZ,77,CAPTURE,Q_tlw,2001,100,E
583,MZZ,71,CAPTURE,Q_tlw,2001,1500,E
584,MZZ,71,CAPTURE,Q_tlw,2001,800,E
612,MZZ,81,CAPTURE,Q_tlw,2001,5,E
772,MZZ,77,CAPTURE,Q_tlw,2001,130,E
798,MZZ,71,CAPTURE,Q_tlw,2001,160,E
876,MZZ,71,CAPTURE,Q_tlw,2001,296,E
90,MZZ,71,CAPTURE,Q_tlw,2002,7000,E
184,MZZ,77,CAPTURE,Q_tlw,2002,319,E
242,MZZ,71,CAPTURE,Q_tlw,2002,8182,E
520,MZZ,71,CAPTURE,Q_tlw,2002,322,E
540,MZZ,71,CAPTURE,Q_tlw,2002,602,E
548,MZZ,71,CAPTURE,Q_tlw,2002,1500,E
570,MZZ,77,CAPTURE,Q_tlw,2002,100,E
583,MZZ,71,CAPTURE,Q_tlw,2002,2000,E
584,MZZ,71,CAPTURE,Q_tlw,2002,900,E
612,MZZ,81,CAPTURE,Q_tlw,2002,5,E
772,MZZ,77,CAPTURE,Q_tlw,2002,120,E
798,MZZ,71,CAPTURE,Q_tlw,2002,160,E
876,MZZ,71,CAPTURE,Q_tlw,2002,296,E
90,MZZ,71,CAPTURE,Q_tlw,2003,9000,E
184,MZZ,77,CAPTURE,Q_tlw,2003,326,E
258,MZZ,77,CAPTURE,Q_tlw,2003,4680,E
520,MZZ,71,CAPTURE,Q_tlw,2003,300,E
548,MZZ,71,CAPTURE,Q_tlw,2003,1500,E
570,MZZ,77,CAPTURE,Q_tlw,2003,100,E
583,MZZ,71,CAPTURE,Q_tlw,2003,2600,E
584,MZZ,71,CAPTURE,Q_tlw,2003,1000,E
585,MZZ,71,CAPTURE,Q_tlw,2003,877,E
612,MZZ,81,CAPTURE,Q_tlw,2003,5,E
772,MZZ,77,CAPTURE,Q_tlw,2003,110,E
882,MZZ,77,CAPTURE,Q_tlw,2003,4700,E
90,MZZ,71,CAPTURE,Q_tlw,2004,10000,E
258,MZZ,77,CAPTURE,Q_tlw,2004,4800,E
296,MZZ,71,CAPTURE,Q_tlw,2004,2600,E
520,MZZ,71,CAPTURE,Q_tlw,2004,284,E
548,MZZ,71,CAPTURE,Q_tlw,2004,1500,E
570,MZZ,77,CAPTURE,Q_tlw,2004,100,E
583,MZZ,71,CAPTURE,Q_tlw,2004,3200,E
584,MZZ,71,CAPTURE,Q_tlw,2004,1200,E
585,MZZ,71,CAPTURE,Q_tlw,2004,877,E
612,MZZ,81,CAPTURE,Q_tlw,2004,3,E
772,MZZ,77,CAPTURE,Q_tlw,2004,100,E
798,MZZ,71,CAPTURE,Q_tlw,2004,450,E
876,MZZ,71,CAPTURE,Q_tlw,2004,396,E
882,MZZ,77,CAPTURE,Q_tlw,2004,5200,E
90,MZZ,71,CAPTURE,Q_tlw,2005,10000,E
184,MZZ,77,CAPTURE,Q_tlw,2005,322,E
242,MZZ,71,CAPTURE,Q_tlw,2005,20743,E
296,MZZ,71,CAPTURE,Q_tlw,2005,1750,E
520,MZZ,71,CAPTURE,Q_tlw,2005,293,E
548,MZZ,71,CAPTURE,Q_tlw,2005,1400,E
570,MZZ,77,CAPTURE,Q_tlw,2005,100,E
583,MZZ,71,CAPTURE,Q_tlw,2005,3800,E
584,MZZ,71,CAPTURE,Q_tlw,2005,1400,E
585,MZZ,71,CAPTURE,Q_tlw,2005,861,E
