COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,PRODUCTION_SOURCE_DET.CODE,MEASURE,PERIOD,VALUE,STATUS
554,MZZ,81,CAPTURE,Q_tlw,2000,122,
554,MZZ,81,CAPTURE,Q_tlw,2001,66,
554,MZZ,81,CAPTURE,Q_tlw,2002,78,
554,MZZ,41,CAPTURE,Q_tlw,2003,22,
554,MZZ,81,CAPTURE,Q_tlw,2003,28,
554,MZZ,81,CAPTURE,Q_tlw,2004,42,
554,MZZ,81,CAPTURE,Q_tlw,2005,42,
554,MZZ,81,CAPTURE,Q_tlw,2006,23,
554,MZZ,81,CAPTURE,Q_tlw,2007,21,
554,MZZ,81,CAPTURE,Q_tlw,2008,145,
554,MZZ,81,CAPTURE,Q_tlw,2009,23,
554,MZZ,81,CAPTURE,Q_tlw,2010,238,
554,MZZ,81,CAPTURE,Q_tlw,2011,8,
554,MZZ,81,CAPTURE,Q_tlw,2012,22,
554,MZZ,81,CAPTURE,Q_tlw,2013,31,
554,MZZ,81,CAPTURE,Q_tlw,2014,34,
554,MZZ,81,CAPTURE,Q_tlw,2015,86,
554,MZZ,81,CAPTURE,Q_tlw,2016,34,
554,MZZ,81,CAPTURE,Q_tlw,2017,66,
554,MZZ,81,CAPTURE,Q_tlw,2018,71,
554,MZZ,81,CAPTURE,Q_tlw,2019,107,
