,COUNTRY.UN_CODE,SPECIES.ALPHA_3_CODE,AREA.CODE,PRODUCTION_SOURCE_DET.CODE,MEASURE,PERIOD,VALUE,STATUS,COUNTRY
0,16,FRF,6,CAPTURE,Q_tlw,2000,0.0,N,American Samoa
1,16,HCZ,77,CAPTURE,Q_tlw,2000,1.0,,Australia
2,16,GPX,77,CAPTURE,Q_tlw,2000,1.0,,Solomon Islands
3,16,SNX,77,CAPTURE,Q_tlw,2000,5.0,,Christmas Island
4,16,EMP,77,CAPTURE,Q_tlw,2000,4.0,,Cocos (Keeling) Islands
5,16,PWT,77,CAPTURE,Q_tlw,2000,6.0,,the Cook Islands
6,16,SUR,77,CAPTURE,Q_tlw,2000,10.0,,the Republic of Fiji
7,16,WAH,77,CAPTURE,Q_tlw,2000,20.0,,French Polynesia
8,16,SKJ,77,CAPTURE,Q_tlw,2000,19.0,,the Republic of Kiribati
9,16,PBF,77,CAPTURE,Q_tlw,2000,0.0,,Guam
10,16,ALB,77,CAPTURE,Q_tlw,2000,626.0,,Heard Island and McDonald Island
11,16,YFT,77,CAPTURE,Q_tlw,2000,88.0,,the Republic of Nauru
12,16,BET,77,CAPTURE,Q_tlw,2000,21.0,,New Caledonia
13,16,SFA,77,CAPTURE,Q_tlw,2000,1.0,,the Republic of Vanuatu
14,16,BUM,77,CAPTURE,Q_tlw,2000,24.0,,New Zealand
15,16,BLM,77,CAPTURE,Q_tlw,2000,0.0,,the Republic of Niue
16,16,MLS,77,CAPTURE,Q_tlw,2000,0.0,,Territory of Norfolk Island
17,16,SSP,77,CAPTURE,Q_tlw,2000,0.0,,Northern Mariana Islands
18,16,SWO,77,CAPTURE,Q_tlw,2000,1.0,,the United States Minor Islands
19,16,TUX,77,CAPTURE,Q_tlw,2000,0.0,,the Federated States of Micronesia
20,16,LAG,77,CAPTURE,Q_tlw,2000,1.0,,the Republic of the Marshall Islands
21,16,CGX,77,CAPTURE,Q_tlw,2000,2.0,,the Republic of Palau
22,16,BRZ,77,CAPTURE,Q_tlw,2000,0.0,,Independent State of Papua New Guinea
23,16,DOL,77,CAPTURE,Q_tlw,2000,15.0,,Pitcairn Islands
24,16,BAR,77,CAPTURE,Q_tlw,2000,0.0,N,Tokelau
25,16,THR,77,CAPTURE,Q_tlw,2000,0.0,,the Kingdom of Tonga
26,16,MAK,77,CAPTURE,Q_tlw,2000,0.0,,Tuvalu
27,16,BSH,77,CAPTURE,Q_tlw,2000,0.0,,Wallis and Futuna Islands
28,16,SKX,77,CAPTURE,Q_tlw,2000,0.0,,the Independent State of Samoa
29,16,MZZ,77,CAPTURE,Q_tlw,2000,0.0,N,
30,16,CRA,77,CAPTURE,Q_tlw,2000,0.0,N,
31,16,SLV,77,CAPTURE,Q_tlw,2000,1.0,,
32,16,OCT,77,CAPTURE,Q_tlw,2000,0.0,N,
33,16,MOL,77,CAPTURE,Q_tlw,2000,0.0,,
34,16,TLN,6,FRESHWATER,Q_tlw,2000,5.0,E,
35,16,FRF,6,CAPTURE,Q_tlw,2001,0.0,N,
36,16,HCZ,77,CAPTURE,Q_tlw,2001,0.0,N,
37,16,GPX,77,CAPTURE,Q_tlw,2001,1.0,,
38,16,SNX,77,CAPTURE,Q_tlw,2001,9.0,,
39,16,EMP,77,CAPTURE,Q_tlw,2001,6.0,,
40,16,PWT,77,CAPTURE,Q_tlw,2001,3.0,,
41,16,SUR,77,CAPTURE,Q_tlw,2001,3.0,,
42,16,WAH,77,CAPTURE,Q_tlw,2001,47.0,,
43,16,SKJ,77,CAPTURE,Q_tlw,2001,71.0,,
44,16,PBF,77,CAPTURE,Q_tlw,2001,0.0,,
45,16,ALB,77,CAPTURE,Q_tlw,2001,3233.0,,
46,16,YFT,77,CAPTURE,Q_tlw,2001,191.0,,
47,16,BET,77,CAPTURE,Q_tlw,2001,75.0,,
48,16,SFA,77,CAPTURE,Q_tlw,2001,1.0,,
49,16,BUM,77,CAPTURE,Q_tlw,2001,5.0,,
50,16,BLM,77,CAPTURE,Q_tlw,2001,0.0,,
51,16,MLS,77,CAPTURE,Q_tlw,2001,0.0,,
52,16,SSP,77,CAPTURE,Q_tlw,2001,0.0,,
53,16,SWO,77,CAPTURE,Q_tlw,2001,1.0,,
54,16,TUX,77,CAPTURE,Q_tlw,2001,1.0,,
55,16,LAG,77,CAPTURE,Q_tlw,2001,1.0,,
56,16,CGX,77,CAPTURE,Q_tlw,2001,1.0,,
57,16,BRZ,77,CAPTURE,Q_tlw,2001,1.0,,
58,16,DOL,77,CAPTURE,Q_tlw,2001,16.0,,
59,16,BAR,77,CAPTURE,Q_tlw,2001,0.0,N,
60,16,THR,77,CAPTURE,Q_tlw,2001,0.0,,
61,16,MAK,77,CAPTURE,Q_tlw,2001,0.0,,
62,16,BSH,77,CAPTURE,Q_tlw,2001,0.0,,
63,16,SKX,77,CAPTURE,Q_tlw,2001,0.0,,
64,16,MZZ,77,CAPTURE,Q_tlw,2001,0.0,N,
65,16,CRA,77,CAPTURE,Q_tlw,2001,0.0,,
66,16,SLV,77,CAPTURE,Q_tlw,2001,1.0,,
67,16,OCT,77,CAPTURE,Q_tlw,2001,0.0,N,
68,16,MOL,77,CAPTURE,Q_tlw,2001,0.0,,
69,16,TLN,6,FRESHWATER,Q_tlw,2001,10.0,E,
70,16,FRF,6,CAPTURE,Q_tlw,2002,0.0,N,
71,16,HCZ,77,CAPTURE,Q_tlw,2002,1.0,,
72,16,GPX,77,CAPTURE,Q_tlw,2002,1.0,,
73,16,SNX,77,CAPTURE,Q_tlw,2002,10.0,,
74,16,EMP,77,CAPTURE,Q_tlw,2002,6.0,,
75,16,PWT,77,CAPTURE,Q_tlw,2002,1.0,,
76,16,SUR,77,CAPTURE,Q_tlw,2002,2.0,,
77,16,WAH,77,CAPTURE,Q_tlw,2002,108.0,,
78,16,SKJ,77,CAPTURE,Q_tlw,2002,134.0,,
79,16,PBF,77,CAPTURE,Q_tlw,2002,0.0,,
80,16,ALB,77,CAPTURE,Q_tlw,2002,5951.0,,
81,16,YFT,77,CAPTURE,Q_tlw,2002,490.0,,
82,16,BET,77,CAPTURE,Q_tlw,2002,196.0,,
83,16,SFA,77,CAPTURE,Q_tlw,2002,1.0,,
84,16,BUM,77,CAPTURE,Q_tlw,2002,20.0,,
85,16,BLM,77,CAPTURE,Q_tlw,2002,0.0,,
86,16,MLS,77,CAPTURE,Q_tlw,2002,0.0,,
87,16,SSP,77,CAPTURE,Q_tlw,2002,0.0,,
88,16,SWO,77,CAPTURE,Q_tlw,2002,1.0,,
89,16,TUX,77,CAPTURE,Q_tlw,2002,0.0,,
90,16,LAG,77,CAPTURE,Q_tlw,2002,0.0,,
91,16,CGX,77,CAPTURE,Q_tlw,2002,1.0,,
92,16,BRZ,77,CAPTURE,Q_tlw,2002,0.0,N,
93,16,DOL,77,CAPTURE,Q_tlw,2002,14.0,,
94,16,BAR,77,CAPTURE,Q_tlw,2002,1.0,,
95,16,THR,77,CAPTURE,Q_tlw,2002,0.0,,
96,16,MAK,77,CAPTURE,Q_tlw,2002,0.0,,
97,16,BSH,77,CAPTURE,Q_tlw,2002,0.0,,
98,16,SKX,77,CAPTURE,Q_tlw,2002,0.0,,
99,16,MZZ,77,CAPTURE,Q_tlw,2002,1.0,,
100,16,CRA,77,CAPTURE,Q_tlw,2002,0.0,N,
101,16,SLV,77,CAPTURE,Q_tlw,2002,0.0,N,
102,16,OCT,77,CAPTURE,Q_tlw,2002,0.0,N,
103,16,MOL,77,CAPTURE,Q_tlw,2002,0.0,,
104,16,TLN,6,FRESHWATER,Q_tlw,2002,10.0,E,
105,16,FRF,6,CAPTURE,Q_tlw,2003,0.0,N,
106,16,HCZ,77,CAPTURE,Q_tlw,2003,1.0,,
107,16,GPX,77,CAPTURE,Q_tlw,2003,1.0,,
108,16,SNX,77,CAPTURE,Q_tlw,2003,3.0,,
109,16,EMP,77,CAPTURE,Q_tlw,2003,2.0,,
110,16,PWT,77,CAPTURE,Q_tlw,2003,2.0,,
111,16,SUR,77,CAPTURE,Q_tlw,2003,5.0,,
112,16,WAH,77,CAPTURE,Q_tlw,2003,166.0,,
113,16,SKJ,77,CAPTURE,Q_tlw,2003,216.0,,
114,16,PBF,77,CAPTURE,Q_tlw,2003,0.0,,
115,16,ALB,77,CAPTURE,Q_tlw,2003,3931.0,,
116,16,YFT,77,CAPTURE,Q_tlw,2003,500.0,,
117,16,BET,77,CAPTURE,Q_tlw,2003,242.0,,
118,16,SFA,77,CAPTURE,Q_tlw,2003,1.0,,
119,16,BUM,77,CAPTURE,Q_tlw,2003,4.0,,
120,16,BLM,77,CAPTURE,Q_tlw,2003,0.0,,
121,16,MLS,77,CAPTURE,Q_tlw,2003,0.0,,
122,16,SSP,77,CAPTURE,Q_tlw,2003,0.0,,
123,16,SWO,77,CAPTURE,Q_tlw,2003,4.0,,
124,16,TUX,77,CAPTURE,Q_tlw,2003,0.0,,
125,16,LAG,77,CAPTURE,Q_tlw,2003,2.0,,
126,16,CGX,77,CAPTURE,Q_tlw,2003,0.0,N,
127,16,BRZ,77,CAPTURE,Q_tlw,2003,0.0,,
128,16,DOL,77,CAPTURE,Q_tlw,2003,8.0,,
129,16,BAR,77,CAPTURE,Q_tlw,2003,1.0,,
130,16,THR,77,CAPTURE,Q_tlw,2003,0.0,,
131,16,MAK,77,CAPTURE,Q_tlw,2003,0.0,,
132,16,BSH,77,CAPTURE,Q_tlw,2003,0.0,,
133,16,SKX,77,CAPTURE,Q_tlw,2003,0.0,,
134,16,MZZ,77,CAPTURE,Q_tlw,2003,0.0,N,
135,16,CRA,77,CAPTURE,Q_tlw,2003,0.0,,
136,16,SLV,77,CAPTURE,Q_tlw,2003,0.0,N,
137,16,OCT,77,CAPTURE,Q_tlw,2003,0.0,N,
138,16,MOL,77,CAPTURE,Q_tlw,2003,0.0,,
139,16,TLN,6,FRESHWATER,Q_tlw,2003,10.0,E,
140,16,FRF,6,CAPTURE,Q_tlw,2004,0.0,N,
141,16,HCZ,77,CAPTURE,Q_tlw,2004,0.0,N,
142,16,GPX,77,CAPTURE,Q_tlw,2004,1.0,,
143,16,SNX,77,CAPTURE,Q_tlw,2004,4.0,,
144,16,EMP,77,CAPTURE,Q_tlw,2004,2.0,,
145,16,PWT,77,CAPTURE,Q_tlw,2004,2.0,,
146,16,SUR,77,CAPTURE,Q_tlw,2004,2.0,,
147,16,WAH,77,CAPTURE,Q_tlw,2004,203.0,,
148,16,SKJ,77,CAPTURE,Q_tlw,2004,234.0,,
149,16,PBF,77,CAPTURE,Q_tlw,2004,0.0,,
150,16,ALB,77,CAPTURE,Q_tlw,2004,2462.0,,
151,16,YFT,77,CAPTURE,Q_tlw,2004,891.0,,
152,16,BET,77,CAPTURE,Q_tlw,2004,227.0,,
153,16,SFA,77,CAPTURE,Q_tlw,2004,1.0,,
154,16,BUM,77,CAPTURE,Q_tlw,2004,1.0,,
155,16,BLM,77,CAPTURE,Q_tlw,2004,0.0,,
156,16,MLS,77,CAPTURE,Q_tlw,2004,0.0,,
157,16,SSP,77,CAPTURE,Q_tlw,2004,0.0,,
158,16,SWO,77,CAPTURE,Q_tlw,2004,4.0,,
159,16,TUX,77,CAPTURE,Q_tlw,2004,0.0,,
160,16,LAG,77,CAPTURE,Q_tlw,2004,0.0,N,
161,16,CGX,77,CAPTURE,Q_tlw,2004,0.0,N,
162,16,BRZ,77,CAPTURE,Q_tlw,2004,0.0,,
163,16,DOL,77,CAPTURE,Q_tlw,2004,4.0,,
164,16,BAR,77,CAPTURE,Q_tlw,2004,1.0,,
165,16,THR,77,CAPTURE,Q_tlw,2004,0.0,,
166,16,MAK,77,CAPTURE,Q_tlw,2004,0.0,,
167,16,BSH,77,CAPTURE,Q_tlw,2004,0.0,,
168,16,SKX,77,CAPTURE,Q_tlw,2004,0.0,,
169,16,MZZ,77,CAPTURE,Q_tlw,2004,2.0,,
170,16,CRA,77,CAPTURE,Q_tlw,2004,0.0,,
171,16,SLV,77,CAPTURE,Q_tlw,2004,0.0,N,
172,16,OCT,77,CAPTURE,Q_tlw,2004,0.0,N,
173,16,MOL,77,CAPTURE,Q_tlw,2004,0.0,N,
174,16,TLN,6,FRESHWATER,Q_tlw,2004,10.0,E,
175,16,FRF,6,CAPTURE,Q_tlw,2005,0.0,N,
176,16,HCZ,77,CAPTURE,Q_tlw,2005,0.0,N,
177,16,GPX,77,CAPTURE,Q_tlw,2005,1.0,,
178,16,SNX,77,CAPTURE,Q_tlw,2005,2.0,,
179,16,EMP,77,CAPTURE,Q_tlw,2005,0.0,N,
180,16,PWT,77,CAPTURE,Q_tlw,2005,3.0,,
181,16,SUR,77,CAPTURE,Q_tlw,2005,4.0,,
182,16,WAH,77,CAPTURE,Q_tlw,2005,207.0,,
